#options: 640x360 fps=20/1 timebase=1/20 bitdepth=8 cabac=0 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=6 lookahead_threads=2 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=0 weightp=0 keyint=250 keyint_min=20 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=crf mbtree=1 crf=23.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:69 out:69 type:P dur:2 cpbdur:2 q:27.63 aq:23.13 tex:15929 mv:3442 misc:989 imb:36 pmb:474 smb:410 d:- ref:0 ;
in:70 out:70 type:P dur:2 cpbdur:2 q:27.63 aq:22.91 tex:15117 mv:3336 misc:955 imb:26 pmb:472 smb:422 d:- ref:0 ;
in:71 out:71 type:P dur:2 cpbdur:2 q:27.63 aq:22.77 tex:17101 mv:3595 misc:976 imb:37 pmb:487 smb:396 d:- ref:0 ;
in:72 out:72 type:P dur:2 cpbdur:2 q:27.63 aq:22.64 tex:16203 mv:3442 misc:1003 imb:36 pmb:486 smb:398 d:- ref:0 ;
in:73 out:73 type:P dur:2 cpbdur:2 q:27.63 aq:22.49 tex:22801 mv:4646 misc:993 imb:50 pmb:582 smb:288 d:- ref:0 ;
in:74 out:74 type:P dur:2 cpbdur:2 q:27.63 aq:22.59 tex:16074 mv:3264 misc:982 imb:34 pmb:466 smb:420 d:- ref:0 ;
in:75 out:75 type:P dur:2 cpbdur:2 q:27.63 aq:22.88 tex:14963 mv:3282 misc:947 imb:27 pmb:470 smb:423 d:- ref:0 ;
in:76 out:76 type:P dur:2 cpbdur:2 q:27.63 aq:23.09 tex:16234 mv:3509 misc:977 imb:28 pmb:485 smb:407 d:- ref:0 ;
in:77 out:77 type:P dur:2 cpbdur:2 q:27.63 aq:23.02 tex:15522 mv:3498 misc:996 imb:29 pmb:498 smb:393 d:- ref:0 ;
in:78 out:78 type:P dur:2 cpbdur:2 q:27.63 aq:23.13 tex:22521 mv:4791 misc:992 imb:84 pmb:551 smb:285 d:- ref:0 ;
in:79 out:79 type:P dur:2 cpbdur:2 q:27.63 aq:22.68 tex:17549 mv:3522 misc:977 imb:34 pmb:502 smb:384 d:- ref:0 ;
in:80 out:80 type:P dur:2 cpbdur:2 q:27.63 aq:22.86 tex:16468 mv:3434 misc:978 imb:29 pmb:498 smb:393 d:- ref:0 ;
in:81 out:81 type:P dur:2 cpbdur:2 q:27.63 aq:22.89 tex:17110 mv:3665 misc:985 imb:30 pmb:521 smb:369 d:- ref:0 ;
in:82 out:82 type:P dur:2 cpbdur:2 q:27.63 aq:22.91 tex:17761 mv:3531 misc:956 imb:26 pmb:497 smb:397 d:- ref:0 ;
in:83 out:83 type:P dur:2 cpbdur:2 q:27.63 aq:23.14 tex:21149 mv:4531 misc:968 imb:48 pmb:551 smb:321 d:- ref:0 ;
in:84 out:84 type:P dur:2 cpbdur:2 q:27.63 aq:23.30 tex:18728 mv:3609 misc:959 imb:28 pmb:509 smb:383 d:- ref:0 ;
in:85 out:85 type:P dur:2 cpbdur:2 q:27.63 aq:23.27 tex:17437 mv:4032 misc:1003 imb:43 pmb:540 smb:337 d:- ref:0 ;
in:86 out:86 type:P dur:2 cpbdur:2 q:27.63 aq:22.97 tex:16619 mv:3824 misc:989 imb:42 pmb:510 smb:368 d:- ref:0 ;
in:87 out:87 type:P dur:2 cpbdur:2 q:27.63 aq:23.01 tex:17451 mv:3470 misc:943 imb:28 pmb:504 smb:388 d:- ref:0 ;
in:88 out:88 type:P dur:2 cpbdur:2 q:27.63 aq:23.25 tex:22191 mv:4801 misc:1016 imb:73 pmb:541 smb:306 d:- ref:0 ;
in:89 out:89 type:P dur:2 cpbdur:2 q:27.63 aq:23.55 tex:17943 mv:3617 misc:968 imb:38 pmb:513 smb:369 d:- ref:0 ;
in:90 out:90 type:P dur:2 cpbdur:2 q:27.63 aq:23.02 tex:16196 mv:3824 misc:1004 imb:50 pmb:506 smb:364 d:- ref:0 ;
in:91 out:91 type:P dur:2 cpbdur:2 q:27.63 aq:23.55 tex:16288 mv:3824 misc:968 imb:60 pmb:486 smb:374 d:- ref:0 ;
in:92 out:92 type:P dur:2 cpbdur:2 q:27.63 aq:23.94 tex:17464 mv:3737 misc:943 imb:39 pmb:515 smb:366 d:- ref:0 ;
in:93 out:93 type:P dur:2 cpbdur:2 q:27.63 aq:24.00 tex:19102 mv:4808 misc:1010 imb:75 pmb:512 smb:333 d:- ref:0 ;
in:94 out:94 type:P dur:2 cpbdur:2 q:27.63 aq:24.02 tex:13727 mv:3770 misc:975 imb:62 pmb:476 smb:382 d:- ref:0 ;
in:95 out:95 type:P dur:2 cpbdur:2 q:27.63 aq:24.14 tex:17932 mv:3720 misc:996 imb:62 pmb:450 smb:408 d:- ref:0 ;
in:96 out:96 type:P dur:2 cpbdur:2 q:27.63 aq:23.93 tex:13891 mv:3716 misc:977 imb:70 pmb:424 smb:426 d:- ref:0 ;
in:97 out:97 type:P dur:2 cpbdur:2 q:27.63 aq:24.60 tex:6674 mv:3203 misc:939 imb:44 pmb:367 smb:509 d:- ref:0 ;
in:98 out:98 type:P dur:2 cpbdur:2 q:27.63 aq:26.31 tex:6091 mv:3588 misc:929 imb:53 pmb:350 smb:517 d:- ref:0 ;
in:99 out:99 type:I dur:2 cpbdur:2 q:24.72 aq:18.34 tex:199210 mv:25018 misc:68 imb:920 pmb:0 smb:0 d:- ref:;
in:100 out:100 type:P dur:2 cpbdur:2 q:27.63 aq:18.26 tex:60 mv:12 misc:128 imb:0 pmb:4 smb:916 d:- ref:0 ;
